Measure,Year,TravelType,Reason,UNIT,Value
Number of Trips by Irish Residents,2012,Domestic,Sporting events,Thousand,295.0
Number of Trips by Irish Residents,2012,Domestic,Other reasons,Thousand,560.0
Number of Trips by Irish Residents,2012,Outbound,All reasons for journey,Thousand,6623.0
Number of Trips by Irish Residents,2012,Outbound,Holiday,Thousand,3817.0
Number of Trips by Irish Residents,2012,Outbound,Business,Thousand,584.0
Number of Trips by Irish Residents,2012,Outbound,Visiting friends/relatives,Thousand,1472.0
Number of Trips by Irish Residents,2012,Outbound,Education and training,Thousand,102.0
Number of Trips by Irish Residents,2012,Outbound,Work/looking for work,Thousand,120.0
Number of Trips by Irish Residents,2012,Outbound,Sporting events,Thousand,300.0
Number of Trips by Irish Residents,2012,Outbound,Other reasons,Thousand,227.0
Number of Trips by Irish Residents,2013,Domestic,All reasons for journey,Thousand,8413.0
Number of Trips by Irish Residents,2013,Domestic,Holiday,Thousand,4073.0
Number of Trips by Irish Residents,2013,Domestic,Business,Thousand,364.0
Number of Trips by Irish Residents,2013,Domestic,Visiting friends/relatives,Thousand,2988.0
Number of Trips by Irish Residents,2013,Domestic,Education and training,Thousand,142.0
Number of Trips by Irish Residents,2013,Domestic,Work/looking for work,Thousand,84.0
Number of Trips by Irish Residents,2013,Domestic,Sporting events,Thousand,269.0
Number of Trips by Irish Residents,2013,Domestic,Other reasons,Thousand,493.0
Number of Trips by Irish Residents,2013,Outbound,All reasons for journey,Thousand,6575.0
Number of Trips by Irish Residents,2013,Outbound,Holiday,Thousand,3659.0
Number of Trips by Irish Residents,2013,Outbound,Business,Thousand,652.0
Number of Trips by Irish Residents,2013,Outbound,Visiting friends/relatives,Thousand,1624.0
Number of Trips by Irish Residents,2013,Outbound,Education and training,Thousand,85.0
Number of Trips by Irish Residents,2013,Outbound,Work/looking for work,Thousand,135.0
Number of Trips by Irish Residents,2013,Outbound,Sporting events,Thousand,222.0
Number of Trips by Irish Residents,2013,Outbound,Other reasons,Thousand,197.0
Number of Trips by Irish Residents,2014,Domestic,All reasons for journey,Thousand,8991.0
Number of Trips by Irish Residents,2014,Domestic,Holiday,Thousand,4436.0
